Team Number,Match Number,Team Color,Scout Initals,Cone High Auto,Cone Mid Auto,Cone Low Auto,Cube High Auto,Cube Mid Auto,Cube Low Auto,Mobility Auto,Balance Auto,Cones Collected,Cubes Collected,Cone High,Cone Mid,Cone Low,Cube High,Cube Mid,Cube Low,Cone High (Full Grid),Cone Mid (Full Grid),Cone Low (Full Grid),Cube High (Full Grid),Cube Mid (Full Grid),Cube Low (Full Grid),Endgame Teleop,How in the way of own alliance (none (0) to lots (10)),How tippy (none (0) to lots (10)),How many penalties (none (0) to lots (10)),How speedy (0 (low speed) - 10 (high speed)),Swerve,Died?,Notes,Time Uploaded
"494","5",Red,"LP",6,0,0,6,0,0,0,0,4,1,10,6,0,0,3,0,0,0,0,0,0,0,10,1,1,1,0.4,1,1,"Green robot arm can place in both directions ",Thu Apr 20 2023 14:16:02 GMT+0000 (Coordinated Universal Time)
"6606","6",Blue,"LL",0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0.4,0,1,0.2,1,1,"Very bad overall. Barely did anything. Almost tipped over",Thu Apr 20 2023 14:22:35 GMT+0000 (Coordinated Universal Time)
"3572","6",Red,"Hh",0,0,0,0,0,3,3,0,2,0,5,0,2,5,0,0,0,0,0,0,0,0,10,0.5,0.5,1,0,1,1,"Slow and in the way, inaccurate ",Thu Apr 20 2023 14:22:37 GMT+0000 (Coordinated Universal Time)
"5274","6",Red,"LP",0,0,0,0,4,0,3,12,3,2,0,6,2,5,0,2,0,0,0,0,0,0,10,0.7,0.8,1,0.4,0,1,"",Thu Apr 20 2023 14:22:42 GMT+0000 (Coordinated Universal Time)
"2642","6",Blue,"Lg",6,0,0,6,0,0,3,0,3,2,15,0,0,10,0,0,0,0,0,0,0,0,10,1,1,1,0.4,1,1,"A little slow but efficient ",Thu Apr 20 2023 14:22:52 GMT+0000 (Coordinated Universal Time)
"4143","5",Red,"JW",6,0,0,6,4,0,0,0,7,0,15,6,4,0,0,0,0,0,0,0,0,0,10,1,1,1,0.7,1,1,"",Thu Apr 20 2023 14:23:10 GMT+0000 (Coordinated Universal Time)
"955","6",Blue,"KL",0,0,0,6,0,0,0,0,5,1,10,0,8,0,3,0,0,0,0,0,0,0,10,1,1,1,0.5,1,1,"Arm got caught on auto",Thu Apr 20 2023 14:24:35 GMT+0000 (Coordinated Universal Time)
"5665","7",Blue,"LL",0,0,0,6,0,0,3,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0.5,1,0,"Tipped over",Thu Apr 20 2023 14:29:11 GMT+0000 (Coordinated Universal Time)
"1466","7",Red,"LP",0,0,0,6,0,0,3,12,3,1,0,3,4,0,3,0,0,0,0,0,0,0,10,1,0.5,1,0.3,1,1,"",Thu Apr 20 2023 14:29:54 GMT+0000 (Coordinated Universal Time)
"11","7",Red,"JW",6,0,0,6,0,0,3,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1,1,0.6,1,0,"DCed in double sub station ",Thu Apr 20 2023 14:29:57 GMT+0000 (Coordinated Universal Time)
