Team Number,Match Number,Team Color,Scout Initals,Cone High Auto,Cone Mid Auto,Cone Low Auto,Cube High Auto,Cube Mid Auto,Cube Low Auto,Mobility Auto,Balance Auto,Cones Collected,Cubes Collected,Cone High,Cone Mid,Cone Low,Cube High,Cube Mid,Cube Low,Cone High (Full Grid),Cone Mid (Full Grid),Cone Low (Full Grid),Cube High (Full Grid),Cube Mid (Full Grid),Cube Low (Full Grid),Endgame Teleop,How in the way of own alliance (none (0) to lots (10)),How tippy (none (0) to lots (10)),How many penalties (none (0) to lots (10)),How speedy (0 (low speed) - 10 (high speed)),Swerve,Died?,Notes,Time Uploaded
"3932","45",Red,"ATC4",0,0,0,0,0,1,Mobility,Engaged,4,2,1,1,2,1,1,0,0,0,0,0,0,0,Engaged,1,5,0,4,Yes,No,"",Fri Apr 21 2023 05:28:26 GMT+0000 (Coordinated Universal Time)
"3039","Qual 58",Red,"AS",1,0,0,1,0,1,Mobility,None,6,3,4,1,0,1,1,1,0,0,0,0,0,0,Engaged,0,0,0,6,Yes,No,"",Fri Apr 21 2023 05:30:53 GMT+0000 (Coordinated Universal Time)
"8015","Qual 58",Red,"AS",0,0,1,0,0,0,Mobility,None,2,3,0,0,1,0,0,2,0,0,0,0,0,0,None,0,1,0,5,Yes,No,"Floppy intake!!",Fri Apr 21 2023 05:34:43 GMT+0000 (Coordinated Universal Time)
"5006","49",Blue,"Hh",1,0,0,0,0,0,Mobility,None,3,2,3,0,0,0,0,2,0,0,0,0,0,0,Engaged,4,0,0,4,Yes,No,"Slow in sub ",Fri Apr 21 2023 05:34:45 GMT+0000 (Coordinated Universal Time)
"3161","34",Red,"",0,1,0,0,1,0,Mobility,None,0,5,0,0,0,0,0,5,0,0,0,0,0,0,Engaged,4,5,0,3,Yes,No,"",Fri Apr 21 2023 05:39:43 GMT+0000 (Coordinated Universal Time)
"503","25",Red,"JW",0,0,0,0,1,0,Mobility,None,4,1,2,0,1,1,0,0,0,0,0,0,0,0,Engaged,2,0,3,7,Yes,No,"",Fri Apr 21 2023 05:40:53 GMT+0000 (Coordinated Universal Time)
"3161","Qual 57",Red,"AS",0,1,0,0,1,0,Mobility,None,3,3,0,3,0,1,1,1,0,0,0,0,0,0,Engaged,0,0,0,5,Yes,No,"",Fri Apr 21 2023 05:43:20 GMT+0000 (Coordinated Universal Time)
"5006","15",Blue,"ARM",0,0,1,0,0,0,None,Engaged,6,1,3,3,0,1,0,0,0,0,0,0,0,0,Engaged,0,3,0,0,Yes,No,"Wobbly arm",Fri Apr 21 2023 05:43:30 GMT+0000 (Coordinated Universal Time)
"4663","15",Red,"JJR",0,0,0,1,0,0,Mobility,None,4,1,2,1,1,0,0,0,0,0,0,0,0,0,Engaged,3,2,0,4,No,No,"",Fri Apr 21 2023 05:44:14 GMT+0000 (Coordinated Universal Time)
"6657","Qual 57",Blue,"AS",0,0,0,1,0,0,Mobility,None,0,7,0,0,0,0,0,7,0,0,0,0,0,0,Docked,0,0,0,6,Yes,No,"",Fri Apr 21 2023 05:46:29 GMT+0000 (Coordinated Universal Time)
"3538","34",Blue,"ATC4",1,0,0,0,0,0,Mobility,Engaged,5,4,4,1,0,3,1,0,0,0,0,0,0,0,None,0,3,0,6,Yes,No,"",Fri Apr 21 2023 05:47:26 GMT+0000 (Coordinated Universal Time)
"4522","Qual 52",Blue,"AS",1,0,0,1,1,0,Mobility,None,9,0,5,3,1,0,0,0,0,0,0,0,0,0,Engaged,0,0,0,7,Yes,No,"",Fri Apr 21 2023 05:50:45 GMT+0000 (Coordinated Universal Time)
"1123","25",Red,"JW",0,0,1,1,1,0,Mobility,None,4,2,4,0,0,0,0,2,0,0,0,0,0,0,Engaged,0,0,0,8,Yes,No,"",Fri Apr 21 2023 05:51:11 GMT+0000 (Coordinated Universal Time)
"955","Qual 52",Red,"AS",1,0,0,1,0,0,Mobility,None,3,1,1,2,1,0,1,0,0,0,0,0,0,0,Engaged,3,1,0,4,Yes,No,"",Fri Apr 21 2023 05:54:03 GMT+0000 (Coordinated Universal Time)
"2960","35",Red,"JJR",1,0,0,1,0,0,Mobility,None,3,0,1,0,0,0,0,0,0,0,0,0,0,0,Engaged,2,0,0,0,No,No,"",Fri Apr 21 2023 05:59:35 GMT+0000 (Coordinated Universal Time)
"2960","35",Red,"JJR",1,0,0,1,0,0,Mobility,None,3,0,1,0,0,0,0,0,0,0,0,0,0,0,Engaged,2,0,0,0,No,No,"",Fri Apr 21 2023 05:59:38 GMT+0000 (Coordinated Universal Time)
