Team Number,Match Number,Team Color,Scout Initals,Cone High Auto,Cone Mid Auto,Cone Low Auto,Cube High Auto,Cube Mid Auto,Cube Low Auto,Mobility Auto,Balance Auto,Cones Collected,Cubes Collected,Cone High,Cone Mid,Cone Low,Cube High,Cube Mid,Cube Low,Cone High (Full Grid),Cone Mid (Full Grid),Cone Low (Full Grid),Cube High (Full Grid),Cube Mid (Full Grid),Cube Low (Full Grid),Endgame Teleop,How in the way of own alliance (none (0) to lots (10)),How tippy (none (0) to lots (10)),How many penalties (none (0) to lots (10)),How speedy (0 (low speed) - 10 (high speed)),Swerve,Died?,Notes,Time Uploaded
"494","126",Red,"JJR",0,0,0,0,0,3,3,0,4,3,10,6,0,5,0,2,0,0,0,0,0,0,10,0.9,0.8,1,0.8,1,1,"",Fri Apr 21 2023 22:40:57 GMT+0000 (Coordinated Universal Time)
"857","127",Blue,"LP",6,0,0,0,0,0,3,0,5,1,10,9,0,0,0,2,0,0,0,0,0,0,10,0.7,0.6,1,0.6,1,1,"",Fri Apr 21 2023 22:47:35 GMT+0000 (Coordinated Universal Time)
"9140","127",Red,"Jay M",0,0,0,6,0,0,3,0,4,2,0,9,0,0,6,0,0,0,0,0,0,0,10,0.8,1,1,0.4,0,1,"",Fri Apr 21 2023 22:47:52 GMT+0000 (Coordinated Universal Time)
"4145","Qual 127",Red,"AS",0,0,0,6,0,0,3,0,5,1,15,6,0,0,3,0,0,0,0,0,0,0,10,1,1,1,0.6,1,1,"",Fri Apr 21 2023 22:47:53 GMT+0000 (Coordinated Universal Time)
"1746","127",Blue,"Hh",0,0,0,0,0,6,3,0,4,2,10,6,2,10,0,0,0,0,0,0,0,0,10,0.8,1,1,0.6,1,1,"I might have missed some placements",Fri Apr 21 2023 22:48:00 GMT+0000 (Coordinated Universal Time)
"5665","127",Red,"",0,0,0,0,0,0,3,0,4,1,15,0,0,5,0,4,0,0,0,0,0,0,10,0.8,0.9,1,0.6,1,1,"",Fri Apr 21 2023 22:48:16 GMT+0000 (Coordinated Universal Time)
"9030","127",Red,"JW",0,0,0,6,0,0,3,0,0,4,0,0,0,5,6,0,0,0,0,0,0,0,10,1,0.8,1,0.5,0,1,"",Fri Apr 21 2023 22:48:18 GMT+0000 (Coordinated Universal Time)
"4419","Qual 128",Red,"AS",0,0,3,0,0,0,3,0,4,3,10,6,0,10,3,0,0,0,0,0,0,0,10,0.9,1,1,0.6,1,1,"",Fri Apr 21 2023 22:54:49 GMT+0000 (Coordinated Universal Time)
"5338","128",Blue,"JW",6,0,0,0,0,0,3,0,3,2,10,0,2,5,0,0,0,0,0,0,0,0,10,0.8,1,1,0.7,1,1,"",Fri Apr 21 2023 22:55:28 GMT+0000 (Coordinated Universal Time)
"1836","128",Blue,"LP",0,0,0,0,0,3,3,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,10,0.4,1,1,0.7,1,1,"",Fri Apr 21 2023 22:55:40 GMT+0000 (Coordinated Universal Time)
"1501","128",Red,"JJR",6,0,0,0,0,0,0,0,2,2,5,3,0,0,0,6,0,0,0,0,0,0,10,0.8,0.2,1,0.6,1,1,"",Fri Apr 21 2023 22:55:47 GMT+0000 (Coordinated Universal Time)
"955","128",Red,"Jay M",6,0,0,0,0,0,3,12,3,3,5,6,2,0,6,2,0,0,0,0,0,0,2,0.9,0.7,1,0.4,1,1,"",Fri Apr 21 2023 22:55:57 GMT+0000 (Coordinated Universal Time)
"9084","128",Blue,"Hh",6,0,0,0,0,0,3,12,4,2,10,3,0,5,0,2,0,0,0,0,0,0,10,1,1,1,0.7,1,1,"Triple balance, dropped cone, slow arm extension ",Fri Apr 21 2023 22:56:22 GMT+0000 (Coordinated Universal Time)
"8808","129",Red,"AS",0,0,0,6,0,0,3,0,2,3,10,0,0,0,0,4,0,0,0,0,0,0,10,0.9,1,1,0.1,0,1,"",Fri Apr 21 2023 23:04:17 GMT+0000 (Coordinated Universal Time)
"3572","129",Blue,"JW",0,0,0,0,4,0,3,0,2,3,5,0,0,10,0,2,0,0,0,0,0,0,10,1,1,1,0.7,1,1,"",Fri Apr 21 2023 23:04:34 GMT+0000 (Coordinated Universal Time)
"1466","129",Red,"Jay M",0,0,0,6,0,0,3,12,2,4,0,6,0,0,3,6,0,0,0,0,0,0,10,0.7,1,1,0.6,1,1,"",Fri Apr 21 2023 23:04:40 GMT+0000 (Coordinated Universal Time)
"1816","129",Blue,"LP",6,0,0,0,0,0,3,12,0,5,0,0,0,5,0,8,0,0,0,0,0,0,10,0.5,0.4,1,0.7,0,1,"",Fri Apr 21 2023 23:04:41 GMT+0000 (Coordinated Universal Time)
"3218","129",Blue,"Hh",6,0,0,6,0,0,3,0,2,7,10,0,0,5,3,6,0,0,0,0,0,0,10,0.7,0.8,1,0.4,1,1,"Fast",Fri Apr 21 2023 23:04:50 GMT+0000 (Coordinated Universal Time)
"3039","129",Red,"JJR",6,0,0,6,0,0,3,0,7,2,15,9,2,0,0,4,0,0,0,0,0,0,2,1,1,1,0.7,1,1,"Weird placement strategy ",Fri Apr 21 2023 23:05:01 GMT+0000 (Coordinated Universal Time)
"2642","94",Blue,"LP",6,0,0,0,0,0,3,12,4,3,15,0,2,10,3,0,0,0,0,0,0,0,10,0.6,1,1,0.6,1,1,"",Fri Apr 21 2023 23:11:41 GMT+0000 (Coordinated Universal Time)
"4329","Qual 94",Red,"AS",0,0,0,6,0,0,3,12,2,3,0,6,0,0,6,2,0,0,0,0,0,0,10,1,1,1,0.5,1,1,"",Fri Apr 21 2023 23:11:44 GMT+0000 (Coordinated Universal Time)
"3538","94",Red,"AK",0,0,3,0,0,3,3,0,7,1,20,3,4,5,0,0,0,0,0,0,0,0,10,0.9,0.8,1,0.9,1,1,"Pretty good team",Fri Apr 21 2023 23:12:05 GMT+0000 (Coordinated Universal Time)
"7617","94",Red,"Hh",0,4,0,0,0,0,3,0,5,1,5,12,0,5,3,0,0,0,0,0,0,0,10,1,1,1,0.6,1,1,"Quick and consistent ",Fri Apr 21 2023 23:12:24 GMT+0000 (Coordinated Universal Time)
"3538","94",Red,"JJR",0,0,3,0,0,0,3,0,7,0,20,6,2,0,0,0,0,0,0,0,0,0,10,0.9,0.6,1,0.9,1,1,"Slow intake but good outtake and speed",Fri Apr 21 2023 23:12:50 GMT+0000 (Coordinated Universal Time)
"8592","12",Red,"KP",6,0,0,0,0,0,3,12,0,8,0,0,0,10,6,6,0,0,0,0,0,0,10,1,1,1,0.7,1,1,"",Sat Apr 22 2023 01:25:44 GMT+0000 (Coordinated Universal Time)
"4522","115",Red,"Hh",0,0,0,6,0,0,0,0,5,1,15,3,2,0,3,0,0,0,0,0,0,0,10,1,1,1,0.9,1,1,"Triple balance ",Sat Apr 22 2023 01:27:17 GMT+0000 (Coordinated Universal Time)
"7072","124",Red,"Hh",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.4,1,1,0.4,1,1,"Defense bot",Sat Apr 22 2023 01:28:20 GMT+0000 (Coordinated Universal Time)
"4099","125",Blue,"Hh",6,0,0,0,0,0,3,0,3,1,5,3,0,5,0,0,0,0,0,0,0,0,0,0.4,1,1,0.5,1,0,"Drive stopped working",Sat Apr 22 2023 01:31:00 GMT+0000 (Coordinated Universal Time)
"3932","126",Blue,"Hh",0,0,0,6,0,0,3,0,2,2,10,0,0,0,3,2,0,0,0,0,0,0,10,0.7,0.7,1,0.3,1,1,"",Sat Apr 22 2023 01:32:28 GMT+0000 (Coordinated Universal Time)
"3932","126",Blue,"Hh",0,0,0,6,0,0,3,0,2,2,10,0,0,0,3,2,0,0,0,0,0,0,10,0.7,0.7,1,0.3,1,1,"",Sat Apr 22 2023 01:32:47 GMT+0000 (Coordinated Universal Time)
"9084","0",Red,"MR",36,24,27,18,12,27,3,12,20,22,30,18,18,15,9,18,18,18,27,9,9,27,10,1,1,1,1,1,1,"best robot. no debate",Sun Apr 23 2023 10:47:06 GMT+0000 (Coordinated Universal Time)
