Team Number,Scout Initals,Cone High Auto,Cone Mid Auto,Cone Low Auto,Cube High Auto,Cube Mid Auto,Cube Low Auto,Pieces Place auto,Mobility Auto,Balance Auto,Cones Collected,Cubes Collected,Cone High,Cone Mid,Cone Low,Cube High,Cube Mid,Cube Low,Piece placed,Endgame Teleop,How in the way of own alliance (none (0) to lots (10)),How tippy (none (0) to lots (10)),How good at defense (bad (0) to good (10)),Speed
6417,KL,0,0,0,1,0,0,1,None,Engaged,1,2,1,0,0,1,0,0,2,Engaged,0,0,0,Slow
2404,LP,1,0,0,0,0,0,1,Mobility,None,0,0,0,0,0,0,0,0,0,Engaged,5,7,2,Slow
4698,JJR,0,0,1,0,0,0,1,Mobility,None,1,2,0,1,0,0,1,0,2,Park,8,0,0,Slow
4698,JJR,0,0,1,0,0,0,1,Mobility,None,1,2,0,1,0,0,1,0,2,Park,8,0,0,Slow
3759,HH,0,0,0,0,0,1,1,Mobility,None,0,0,0,0,0,0,0,0,0,None,3,0,0,Slow
691,Jay M,0,0,0,0,0,0,0,Attempted Mobility,None,0,5,0,0,0,0,0,5,5,Park,2,1,0,Normal
4415,LP,1,0,0,0,0,0,1,Mobility,Engaged,4,2,3,0,0,2,0,0,5,Docked,0,0,0,Normal
4079,LL,0,0,0,1,0,0,1,Mobility,None,0,0,0,0,0,0,0,0,0,None,7,0,1,Slow
981,JJR,0,0,0,0,0,1,1,Mobility,None,0,0,0,0,0,0,0,0,0,None,0,6,5,Slow
6072,JJR,0,0,0,0,1,0,1,None,Engaged,0,3,0,0,0,0,0,2,2,Engaged,3,0,0,Slow
6305,LP,0,0,1,0,0,0,1,Mobility,None,2,1,2,0,0,0,0,1,3,Engaged,5,4,3,Slow
4414,LL,0,1,0,0,0,0,1,Mobility,Engaged,3,2,2,3,0,2,2,1,10,Engaged,0,0,0,Fast
7042,Jay M,0,0,0,1,0,0,1,Mobility,None,0,4,0,0,0,0,0,5,5,Park,2,3,0,Fast
6072,JJR,0,0,0,0,1,0,1,None,Engaged,0,3,0,0,0,0,0,2,2,Engaged,3,0,0,Slow
3669,HH,1,0,0,0,0,0,1,Mobility,None,4,0,1,1,2,0,0,0,4,Engaged,3,3,0,Normal
980,LL,0,0,1,0,0,0,1,None,None,3,1,1,0,0,0,0,1,2,Engaged,0,3,0,Normal
3512,LP,1,0,0,0,0,0,1,None,Attempted,5,2,5,0,0,2,0,1,8,None,0,0,0,Fast
1197,Jay M,0,0,1,0,0,0,1,Mobility,None,2,0,0,1,0,0,0,0,1,Engaged,6,1,0,Fast
3749,HH,1,0,0,0,0,0,1,Mobility,None,5,0,4,0,0,0,0,1,5,Park,0,4,0,Fast
5124,JJR,0,0,0,1,0,0,1,Mobility,None,0,5,0,0,0,0,0,2,2,Engaged,3,8,0,Fast
8888,Jay M,1,0,0,0,0,0,1,Mobility,None,2,1,0,0,0,1,0,0,1,Engaged,4,5,0,Slow
5012,LP,0,0,0,0,0,1,1,Mobility,None,0,0,0,0,0,0,0,1,1,None,4,1,3,Normal
2404,LL,0,0,0,0,0,1,1,Mobility,None,0,0,0,0,0,0,0,0,0,Park,3,3,5,Normal
4698,JJR,0,1,0,0,0,0,1,None,Docked,0,7,0,0,0,0,0,7,7,Park,4,0,0,Fast
6417,HH,0,0,0,1,0,0,1,None,Engaged,0,3,0,0,0,0,0,3,3,Park,4,7,0,Normal
