Team Number,Match Number,Team Color,Scout Initals,Cone High Auto,Cone Mid Auto,Cone Low Auto,Cube High Auto,Cube Mid Auto,Cube Low Auto,Mobility Auto,Balance Auto,Cones Collected,Cubes Collected,Cone High,Cone Mid,Cone Low,Cube High,Cube Mid,Cube Low,Cone High (Full Grid),Cone Mid (Full Grid),Cone Low (Full Grid),Cube High (Full Grid),Cube Mid (Full Grid),Cube Low (Full Grid),Endgame Teleop,How in the way of own alliance (none (0) to lots (10)),How tippy (none (0) to lots (10)),How many penalties (none (0) to lots (10)),How speedy (0 (low speed) - 10 (high speed)),Swerve,Died?,Notes,Time Uploaded
"9084","5",Blue,"KL",0,0,0,0,0,0,None,None,1,9,1,0,0,0,1,8,0,0,0,0,0,0,Engaged,0,0,0,7,Yes,No,"What an amazing team 🤩",Thu Apr 20 2023 14:15:57 GMT+0000 (Coordinated Universal Time)
"494","5",Red,"LP",1,0,0,1,0,0,Attempted Mobility,None,4,1,2,2,0,0,1,0,0,0,0,0,0,0,Engaged,0,0,0,4,Yes,No,"Green robot arm can place in both directions ",Thu Apr 20 2023 14:16:02 GMT+0000 (Coordinated Universal Time)
"6606","6",Blue,"LL",0,0,0,0,0,0,Mobility,None,0,3,0,0,0,0,1,0,0,0,0,0,0,0,None,6,10,0,2,Yes,No,"Very bad overall. Barely did anything. Almost tipped over",Thu Apr 20 2023 14:22:35 GMT+0000 (Coordinated Universal Time)
"3572","6",Red,"Hh",0,0,0,0,0,1,Mobility,None,2,0,1,0,1,1,0,0,0,0,0,0,0,0,Engaged,5,5,0,0,Yes,No,"Slow and in the way, inaccurate ",Thu Apr 20 2023 14:22:37 GMT+0000 (Coordinated Universal Time)
"5274","6",Red,"LP",0,0,0,0,1,0,Mobility,Engaged,3,2,0,2,1,1,0,1,0,0,0,0,0,0,Engaged,3,2,0,4,No,No,"",Thu Apr 20 2023 14:22:42 GMT+0000 (Coordinated Universal Time)
"2642","6",Blue,"Lg",1,0,0,1,0,0,Mobility,None,3,2,3,0,0,2,0,0,0,0,0,0,0,0,Engaged,0,0,0,4,Yes,No,"A little slow but efficient ",Thu Apr 20 2023 14:22:52 GMT+0000 (Coordinated Universal Time)
"4143","5",Red,"JW",1,0,0,1,1,0,None,None,7,0,3,2,2,0,0,0,0,0,0,0,0,0,Engaged,0,0,0,7,Yes,No,"",Thu Apr 20 2023 14:23:10 GMT+0000 (Coordinated Universal Time)
"955","6",Blue,"KL",0,0,0,1,0,0,None,None,5,1,2,0,4,0,1,0,0,0,0,0,0,0,Engaged,0,0,0,5,Yes,No,"Arm got caught on auto",Thu Apr 20 2023 14:24:35 GMT+0000 (Coordinated Universal Time)
"5665","7",Blue,"LL",0,0,0,1,0,0,Mobility,None,3,0,0,0,1,0,0,0,0,0,0,0,0,0,None,7,10,0,5,Yes,Yes,"Tipped over",Thu Apr 20 2023 14:29:11 GMT+0000 (Coordinated Universal Time)
"1466","7",Red,"LP",0,0,0,1,0,0,Mobility,Engaged,3,1,0,1,2,0,1,0,0,0,0,0,0,0,Engaged,0,5,0,3,Yes,No,"",Thu Apr 20 2023 14:29:54 GMT+0000 (Coordinated Universal Time)
"11","7",Red,"JW",1,0,0,1,0,0,Mobility,None,2,0,2,0,0,0,0,0,0,0,0,0,0,0,None,6,0,0,6,Yes,Yes,"DCed in double sub station ",Thu Apr 20 2023 14:29:57 GMT+0000 (Coordinated Universal Time)
"177","7",Blue,"KL",0,0,1,0,0,1,None,None,6,1,4,2,0,0,1,0,0,0,0,0,0,0,Engaged,0,0,0,8,Yes,No,"3 piece auto, missed last place",Thu Apr 20 2023 14:30:20 GMT+0000 (Coordinated Universal Time)
"3767","7",Blue,"Lg",0,0,0,1,0,0,None,Engaged,2,1,2,0,0,1,0,0,0,0,0,0,0,0,Engaged,0,0,0,4,No,No,"",Thu Apr 20 2023 14:30:28 GMT+0000 (Coordinated Universal Time)
"8015","7",Red,"HH",0,0,1,0,0,0,Attempted Mobility,None,1,2,0,0,0,0,0,2,0,0,0,0,0,0,Engaged,6,5,0,0,Yes,Yes,"Died then fixed it, slow",Thu Apr 20 2023 14:33:08 GMT+0000 (Coordinated Universal Time)
"4419","8",Red,"LP",1,0,0,0,0,1,None,None,2,4,2,0,0,1,0,3,0,0,0,0,0,0,Engaged,0,0,0,5,Yes,No,"",Thu Apr 20 2023 14:37:36 GMT+0000 (Coordinated Universal Time)
"3218","8",Red,"JW",1,0,0,0,0,1,Mobility,None,3,3,2,1,0,2,1,0,0,0,0,0,0,0,Engaged,4,0,0,7,Yes,No,"Drop multiple cones at single sub station",Thu Apr 20 2023 14:37:52 GMT+0000 (Coordinated Universal Time)
"2960","8",Blue,"LL",0,0,0,1,0,0,Mobility,Engaged,5,0,5,0,1,1,0,0,0,0,0,0,0,0,Engaged,0,0,0,8,Yes,No,"Pretty good overall. Can pick up cones at any orientation",Thu Apr 20 2023 14:38:12 GMT+0000 (Coordinated Universal Time)
"8016","8",Blue,"Lg",0,0,0,1,0,0,None,None,2,2,0,2,0,0,1,1,0,0,0,0,0,0,Engaged,3,0,0,3,No,No,"",Thu Apr 20 2023 14:38:14 GMT+0000 (Coordinated Universal Time)
"7072","8",Red,"HH",0,0,0,0,0,0,Mobility,Docked,2,2,2,0,0,0,0,2,0,0,0,0,0,0,Engaged,4,0,0,3,Yes,No,"Triple balance",Thu Apr 20 2023 14:39:14 GMT+0000 (Coordinated Universal Time)
"4522","9",Red,"Jjr",0,0,1,0,0,0,None,None,0,0,6,2,0,0,0,0,0,0,0,0,0,0,Engaged,0,0,0,7,Yes,No,"Clutched triple balance ",Thu Apr 20 2023 14:45:28 GMT+0000 (Coordinated Universal Time)
"4522","9",Red,"Jjr",0,0,1,0,0,0,None,None,0,0,6,2,0,0,0,0,0,0,0,0,0,0,Engaged,0,0,0,7,Yes,No,"Clutched triple balance ",Thu Apr 20 2023 14:45:30 GMT+0000 (Coordinated Universal Time)
"4329","9",Red,"KP",0,0,0,1,0,0,Attempted Mobility,Engaged,3,2,0,3,0,0,1,1,0,0,0,0,0,0,Engaged,3,1,0,6,Yes,No,"Scored mostly mid",Thu Apr 20 2023 14:45:35 GMT+0000 (Coordinated Universal Time)
"5135","9",Blue,"WC",0,0,0,1,0,0,Mobility,Engaged,0,6,0,0,0,2,3,1,6,2,0,3,3,9,Engaged,3,2,3,6,Yes,No,"",Thu Apr 20 2023 14:45:56 GMT+0000 (Coordinated Universal Time)
"1746","9",Red,"AK",0,0,0,1,0,2,Mobility,None,3,0,3,1,0,0,1,1,0,0,0,0,0,0,Engaged,3,0,0,7,Yes,No,"",Thu Apr 20 2023 14:46:15 GMT+0000 (Coordinated Universal Time)
"1836","9",Blue,"AJ",0,0,0,0,0,1,Mobility,None,0,7,1,0,0,0,0,8,0,1,0,0,0,0,Engaged,0,0,0,7,Yes,No,"Can only do cube low but decently efficient with jt",Thu Apr 20 2023 14:46:38 GMT+0000 (Coordinated Universal Time)
"3039","Qual 9",Red,"AS",1,0,0,1,0,0,Mobility,None,7,4,2,2,2,0,1,3,1,0,0,0,0,0,Park,0,0,0,8,Yes,No,"",Thu Apr 20 2023 14:46:44 GMT+0000 (Coordinated Universal Time)
"6431","8",Blue,"KL",0,0,0,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Park,0,0,10,1,No,No,"Broken intake? Auto didn’t work, terrible defense",Thu Apr 20 2023 14:48:02 GMT+0000 (Coordinated Universal Time)
"6431","8",Blue,"KL",0,0,0,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Park,0,0,10,1,No,No,"Broken intake? Auto didn’t work, terrible defense",Thu Apr 20 2023 14:48:02 GMT+0000 (Coordinated Universal Time)
"6431","8",Blue,"KL",0,0,0,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Park,0,0,10,1,No,No,"Broken intake? Auto didn’t work, terrible defense",Thu Apr 20 2023 14:48:03 GMT+0000 (Coordinated Universal Time)
"6431","8",Blue,"KL",0,0,0,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Park,0,0,10,1,No,No,"Broken intake? Auto didn’t work, terrible defense",Thu Apr 20 2023 14:48:04 GMT+0000 (Coordinated Universal Time)
"6431","8",Blue,"KL",0,0,0,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Park,0,0,10,1,No,No,"Broken intake? Auto didn’t work, terrible defense",Thu Apr 20 2023 14:48:05 GMT+0000 (Coordinated Universal Time)
"6431","8",Blue,"KL",0,0,0,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Park,0,0,10,1,No,No,"Broken intake? Auto didn’t work, terrible defense",Thu Apr 20 2023 14:48:06 GMT+0000 (Coordinated Universal Time)
"9126","Qual 10",Red,"AS",0,0,0,1,0,0,Mobility,None,0,4,0,0,0,1,1,2,0,0,0,0,0,0,None,0,1,0,5,Yes,No,"Really inconsistent intake",Thu Apr 20 2023 14:52:35 GMT+0000 (Coordinated Universal Time)
"179","10",Blue,"WC",1,0,1,0,0,0,None,None,6,2,2,2,2,1,1,0,6,5,2,3,2,4,Park,1,3,0,7,Yes,No,"Really good intake",Thu Apr 20 2023 14:53:36 GMT+0000 (Coordinated Universal Time)
